Timestamp,Open,High,Low,Close,Volume,HL,Pressure,PV,PPrice1,PColor1,PPrice2,PColor2,Direction,Diff
1994-10-01,1.5766,1.642,1.5729,1.6365,42411.0,5869.999999999997,11.658432304037998,2.4807130057923743,1.5766,3.0,1.5766,1.0,1.0,1.5766
1994-11-01,1.6355,1.645,1.5585,1.5662,47442.0,6909.999999999994,7.225042589437823,-4.433389714600175,1.6355,3.0,1.6355,3.0,3.0,1.6355
1994-12-01,1.5654,1.577,1.539,1.5662,37762.0,8650.000000000002,6.86570188133141,-0.35934070810641305,1.5654,3.0,1.5654,2.0,2.0,1.5654
1995-01-01,1.5637,1.6036,1.5475,1.58,41922.0,3800.000000000003,4.365549132947976,-2.5001527483834343,1.5637,3.0,1.5637,4.0,4.0,1.5637
1995-02-01,1.5805,1.5979,1.5491,1.5855,43500.0,5609.999999999981,11.032105263157886,6.66655613020991,1.5805,3.0,1.5805,1.0,1.0,1.5805
1995-03-01,1.5848,1.6684,1.5635,1.622,99053.0,4880.000000000017,7.754010695187192,-3.278094567970694,1.5848,3.0,1.5848,3.0,3.0,1.5848
1995-04-01,1.6243,1.628,1.5847,1.6092,66370.0,10490.00000000002,20.29774590163927,12.543735206452078,1.6243,0.0,1.6243,3.0,3.0,1.6243
1995-05-01,1.61,1.625,1.5461,1.5856,71603.0,4329.999999999989,6.326978074356518,-13.970767827282753,1.61,3.0,1.61,1.0,1.0,1.61
1995-06-01,1.586,1.6185,1.5684,1.5957,59942.0,7889.999999999996,16.53648960739034,10.209511533033822,1.586,3.0,1.586,4.0,4.0,1.586
1995-07-01,1.5921,1.6065,1.5843,1.5969,39071.0,5010.000000000003,7.597211660329535,-8.939277947060805,1.5921,3.0,1.5921,2.0,2.0,1.5921
1995-08-01,1.5965,1.612,1.529,1.5498,54803.0,2219.9999999999995,7.798602794411173,0.20139113408163833,1.5965,3.0,1.5965,3.0,3.0,1.5965
1995-09-01,1.551,1.599,1.542,1.585,43141.0,8300.000000000018,24.68603603603604,16.887433241624866,1.551,3.0,1.551,2.0,2.0,1.551
1995-10-01,1.5815,1.5961,1.566,1.581,41792.0,5699.999999999994,5.197710843373483,-19.488325192662558,1.5815,0.0,1.5815,2.0,2.0,1.5815
1995-11-01,1.5807,1.587,1.5233,1.5336,46002.0,3010.0000000000014,7.331929824561412,2.134218981187929,1.5807,3.0,1.5807,3.0,3.0,1.5807
1995-12-01,1.5338,1.563,1.5203,1.5498,43761.0,6369.999999999986,15.283056478405308,7.951126653843897,1.5338,3.0,1.5338,4.0,4.0,1.5338
1996-01-01,1.547,1.5605,1.497,1.5149,42862.0,4269.999999999995,6.86985871271587,-8.41319776568944,1.547,3.0,1.547,2.0,2.0,1.547
1996-02-01,1.5133,1.5535,1.5111,1.5325,34561.0,6349.999999999988,10.037939110070269,3.168080397354399,1.5133,0.0,1.5133,2.0,2.0,1.5133
1996-03-01,1.5318,1.5415,1.515,1.5269,32161.0,4239.999999999999,5.442677165354341,-4.595261944715928,1.5318,0.0,1.5318,2.0,2.0,1.5318
1996-04-01,1.525,1.5332,1.498,1.5058,33042.0,2650.0000000000186,7.585141509433964,2.142464344079623,1.525,3.0,1.525,1.0,1.0,1.525
1996-05-01,1.5054,1.5549,1.489,1.5528,35273.0,3519.9999999999895,12.468679245282932,4.883537735848968,1.5054,3.0,1.5054,4.0,4.0,1.5054
1996-06-01,1.5523,1.5575,1.527,1.5531,32670.0,6589.9999999999845,10.020738636363665,-2.447940608919266,1.5523,3.0,1.5523,1.0,1.0,1.5523
1996-07-01,1.5512,1.565,1.5368,1.5575,35073.0,3050.000000000019,4.957511380880133,-5.0632272554835325,1.5512,3.0,1.5512,3.0,3.0,1.5512
1996-08-01,1.5562,1.566,1.534,1.565,28862.0,2820.0,11.49934426229501,6.5418328814148765,1.5562,3.0,1.5562,1.0,1.0,1.5562
1996-09-01,1.5607,1.5726,1.5485,1.5657,29351.0,3200.0000000000027,10.234751773049645,-1.2645924892453646,1.5607,3.0,1.5607,3.0,3.0,1.5607
1996-10-01,1.5651,1.6357,1.5602,1.6266,35433.0,2410.000000000001,9.172187499999993,-1.0625642730496523,1.5651,0.0,1.5651,3.0,3.0,1.5651
1996-11-01,1.626,1.692,1.6249,1.6823,44751.0,7549.999999999989,14.70248962655601,5.530302126556018,1.626,0.0,1.626,3.0,3.0,1.626
1996-12-01,1.6827,1.7173,1.6095,1.7145,56142.0,6709.999999999994,5.927284768211929,-8.775204858344082,1.6827,0.0,1.6827,3.0,3.0,1.6827
1997-01-01,1.71,1.7133,1.5945,1.6022,64732.0,10780.000000000011,8.366915052160962,2.4396302839490334,1.71,0.0,1.71,3.0,3.0,1.71
1997-02-01,1.5975,1.6475,1.5969,1.6292,51510.0,11880.0,6.004823747680884,-2.362091304480078,1.5975,3.0,1.5975,2.0,2.0,1.5975
1997-03-01,1.6277,1.648,1.5849,1.6385,44571.0,5059.999999999997,4.335858585858586,-1.6689651618222987,1.6277,0.0,1.6277,2.0,2.0,1.6277
1997-04-01,1.638,1.656,1.6154,1.6245,42312.0,6309.999999999993,8.80849802371542,4.4726394378568335,1.638,3.0,1.638,3.0,3.0,1.638
1997-05-01,1.624,1.6608,1.6,1.6415,57662.0,4059.999999999997,6.7055467511885976,-2.1029512725268216,1.624,3.0,1.624,2.0,2.0,1.624
1997-06-01,1.6408,1.6735,1.6188,1.6658,41451.0,6079.999999999996,14.202463054187204,7.496916302998606,1.6408,3.0,1.6408,1.0,1.0,1.6408
1997-07-01,1.6652,1.7002,1.623,1.641,58153.0,5469.999999999996,6.81759868421053,-7.384864369976674,1.6652,3.0,1.6652,3.0,3.0,1.6652
1997-08-01,1.6407,1.6435,1.5663,1.6233,59961.0,7719.999999999993,10.631261425959787,3.8136627417492566,1.6407,3.0,1.6407,2.0,2.0,1.6407
1997-09-01,1.614,1.6305,1.5767,1.619,52942.0,7719.999999999993,7.766968911917106,-2.864292514042681,1.614,3.0,1.614,4.0,4.0,1.614
1997-10-01,1.6173,1.6882,1.5985,1.6748,50923.0,5380.000000000006,6.857772020725395,-0.9091968911917103,1.6173,3.0,1.6173,2.0,2.0,1.6173
1997-11-01,1.678,1.7155,1.6669,1.689,46410.0,8969.999999999989,9.465241635687722,2.6074696149623264,1.678,3.0,1.678,3.0,3.0,1.678
1997-12-01,1.6896,1.6907,1.6264,1.65,52443.0,4859.999999999997,5.173913043478267,-4.291328592209455,1.6896,0.0,1.6896,3.0,3.0,1.6896
1998-01-01,1.6474,1.687,1.609,1.6346,5696.0,6430.000000000002,10.790740740740747,5.6168276972624795,1.6474,3.0,1.6474,2.0,2.0,1.6474
1998-02-01,1.6308,1.6609,1.6205,1.6442,4607.0,7800.000000000006,0.8858475894245721,-9.904893151316175,1.6308,3.0,1.6308,4.0,4.0,1.6308
1998-03-01,1.6448,1.69,1.6279,1.6728,4553.0,4039.9999999999986,0.5906410256410252,-0.2952065637835469,1.6448,3.0,1.6448,2.0,2.0,1.6448
1998-04-01,1.6722,1.6982,1.6546,1.6729,35321.0,6210.000000000004,1.1269801980198024,0.5363391723787773,1.6722,3.0,1.6722,3.0,3.0,1.6722
1998-05-01,1.67,1.675,1.6152,1.631,126501.0,4359.999999999985,5.687761674718193,4.560781476698391,1.67,3.0,1.67,1.0,1.0,1.67
1998-06-01,1.6325,1.6793,1.625,1.6677,264061.0,5980.000000000007,29.013990825688172,23.32622915096998,1.6325,3.0,1.6325,4.0,4.0,1.6325
1998-07-01,1.6673,1.6723,1.6267,1.6327,193933.0,5430.000000000001,44.15735785953172,15.14336703384355,1.6673,3.0,1.6673,2.0,2.0,1.6673
1998-08-01,1.634,1.6883,1.6075,1.6815,178552.0,4559.999999999986,35.71510128913443,-8.44225657039729,1.634,3.0,1.634,1.0,1.0,1.634
1998-09-01,1.683,1.7185,1.65,1.7005,264448.0,8079.999999999997,39.15614035087731,3.4410390617428774,1.683,0.0,1.683,1.0,1.0,1.683
1998-10-01,1.6995,1.7367,1.662,1.6755,304726.0,6850.0,32.72871287128714,-6.427427479590172,1.6995,3.0,1.6995,3.0,3.0,1.6995
