2025.04.14 17:59	TF = PERIOD_MN1	XAUUSD
DateTime,	TickVolume,	Open,	High,	Low,	Close,	predicted_low,predicted_high,pressure,pressure_vector,
1998.05.01 00:00,13101,306.25000000,307.20000000,290.40000000,293.20000000,0.00000,0.00000,0.00000,0.00000,
1998.06.01 00:00,16943,292.75000000,300.50000000,283.70000000,297.20000000,-inf,-inf,inf,inf,
1998.07.01 00:00,11982,297.65000000,298.70000000,285.70000000,286.70000000,inf,inf,10.08512,-inf,
1998.08.01 00:00,12871,286.20000000,290.35000000,270.75000000,275.80000000,278.76479,293.64628,7.13214,-2.95298,
1998.09.01 00:00,16057,277.10000000,300.30000000,276.85000000,297.20000000,265.87646,288.31316,9.90077,2.76863,
1998.10.01 00:00,13467,296.20000000,305.20000000,290.60000000,292.80000000,282.78125,309.62516,8.19235,-1.70842,
1998.11.01 00:00,10590,292.60000000,298.65000000,287.60000000,293.60000000,284.24806,300.96112,5.74286,-2.44949,
1998.12.01 00:00,11213,292.29000000,297.60000000,285.00000000,288.50000000,285.96253,298.61180,7.25342,1.51057,
1999.01.01 00:00,9580,288.30000000,293.75000000,281.40000000,286.40000000,281.08278,295.50637,10.14751,2.89409,
1999.02.01 00:00,8555,286.40000000,290.95000000,284.20000000,287.30000000,279.33606,293.47348,7.60317,-2.54434,
1999.03.01 00:00,10798,286.50000000,294.65000000,278.10000000,280.30000000,282.63780,290.36473,6.92713,-0.67605,
1999.04.01 00:00,9021,279.90000000,288.10000000,277.00000000,286.80000000,270.41035,289.35563,15.99704,9.06991,
1999.05.01 00:00,11696,286.20000000,290.20000000,267.40000000,270.80000000,279.86652,292.57303,5.45076,-10.54628,
1999.06.01 00:00,11917,269.85000000,270.35000000,256.90000000,261.25000000,256.79054,282.89038,10.53694,5.08618,
1999.07.01 00:00,10412,262.25000000,263.90000000,252.05000000,256.20000000,254.56165,269.95827,5.22675,-5.31018,
1999.08.01 00:00,10497,255.65000000,262.50000000,251.70000000,256.00000000,248.86276,262.42781,7.74126,2.51451,
1999.09.01 00:00,23152,255.70000000,327.80000000,253.10000000,304.50000000,249.51636,261.87945,8.85823,1.11696,
1999.10.01 00:00,39353,297.25000000,342.00000000,285.75000000,300.20000000,254.47075,339.98207,21.43704,12.57881,
1999.11.01 00:00,17638,294.50000000,300.40000000,286.00000000,291.20000000,262.33479,326.72585,5.26814,-16.16890,
1999.12.01 00:00,16865,290.70000000,292.20000000,274.00000000,289.00000000,282.46194,298.94605,3.13564,-2.13249,
2000.01.01 00:00,15388,287.50000000,291.50000000,278.70000000,283.90000000,277.06688,297.90096,11.71181,8.57616,
2000.02.01 00:00,32845,283.30000000,327.00000000,281.50000000,292.70000000,275.97984,290.63238,8.45495,-3.25686,
2000.03.01 00:00,22422,291.70000000,294.88000000,274.00000000,279.40000000,265.62513,317.71034,25.66016,17.20521,
2000.04.01 00:00,17088,278.50000000,289.25000000,272.60000000,273.60000000,266.58789,290.48985,4.92791,-20.73224,
2000.05.01 00:00,16028,275.00000000,283.30000000,268.70000000,272.60000000,265.46402,284.52377,8.18391,3.25600,
2000.06.01 00:00,20621,271.70000000,294.62000000,271.00000000,289.30000000,263.34077,280.05382,9.62643,1.44252,
2000.07.01 00:00,13446,288.60000000,290.60000000,276.05000000,277.50000000,275.07231,302.11083,14.12397,4.49755,
2000.08.01 00:00,14328,276.95000000,279.60000000,270.00000000,278.20000000,268.63790,285.29372,5.69263,-8.43134,
2000.09.01 00:00,14156,277.50000000,279.95000000,268.25000000,274.50000000,271.99751,282.98691,9.84742,4.15479,
2000.10.01 00:00,15826,274.10000000,278.10000000,261.85000000,264.75000000,267.39415,280.78748,14.74583,4.89841,
2000.11.01 00:00,13247,264.45000000,271.65000000,262.85000000,270.70000000,255.15136,273.75322,13.52650,-1.21934,
